訓練年份,測試年份,前10支股票平均報酬率(%),所有選中股票平均報酬率(%),最佳準則,最大深度,最小分割樣本數,最小葉子樣本數,特徵數量,選中股票數量,最佳特徵組合
1997,1998,94.79809999999999,22.767461403508776,gini,5,2,1,1,57,負債/淨值比
1998,1999,-23.176620000000003,-42.05893043478261,gini,3,2,1,2,69,"市值(百萬元), 負債/淨值比"
1999,2000,86.20701,38.75887314814814,gini,5,2,5,2,108,"市值(百萬元), M營業利益成長率"
2000,2001,17.761616,-7.058474545454547,gini,5,2,5,3,22,"市值(百萬元), M營業利益成長率, M稅後淨利成長率"
2001,2002,68.20251,41.74673333333333,gini,5,2,1,2,36,"M營業利益成長率, M稅後淨利成長率"
2002,2003,22.148680000000002,1.0220719999999996,gini,5,5,1,3,50,"市值(百萬元), 負債/淨值比, M稅後淨利成長率"
2003,2004,43.16199,18.148824140625003,gini,5,2,5,2,128,"負債/淨值比, M營業利益成長率"
2004,2005,72.57599,48.55558565217391,gini,5,2,1,3,23,"市值(百萬元), M營業利益成長率, M稅後淨利成長率"
2005,2006,38.93209,6.769315384615384,gini,5,2,1,1,65,M營業利益成長率
2006,2007,-27.955917999999997,-50.51491466666666,gini,5,2,5,1,60,M營業利益成長率
2007,2008,157.6898,106.96072400000001,gini,5,5,2,2,25,"市值(百萬元), M營業利益成長率"
