證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,訓練年份,測試年份,使用準則,最大深度,選股類型
2357,華碩         ,199812,244863,231.8,0.378609382660268,6.0649,5.3571,0.32378,0.37232,0.28274,0.32883,0.14991,673.08,601.87,8.76,20.8,72.81,64.46,56.0181,1,1998,1997,1998,gini,5,預測為高於平均
1301,台塑         ,199812,132481,14.72,0.350727103576883,0.73343,1.0294,0.057917,0.1009,0.096604,0.14165,0.74222,101.04,49.85,4.76,16.8,-42.41,21.73,46.8071,1,1998,1997,1998,gini,5,預測為高於平均
2313,華通         ,199812,90850,101.36,0.207742292733028,4.0334,2.504,0.15335,0.27669,0.2374,0.17175,0.80433,148.86,112.09,8.4,6.01,97.77,28.46,5.8307,0,1998,1997,1998,gini,5,預測為高於平均
2324,仁寶         ,199812,88918,16.84,0.301246330279491,0.63,0.36293,0.16212,0.21551,0.12078,0.12424,0.32928,297.97,240.99,11.32,8.61,130.14,42.72,39.4893,1,1998,1997,1998,gini,5,預測為高於平均
1326,台化         ,199812,83304,8.62,0.470923348517591,0.43957,0.65254,0.063646,0.12089,0.065449,0.17945,0.89945,130.19,67.34,2.8,12.35,-24.27,172.43,53.7123,1,1998,1997,1998,gini,5,預測為高於平均
1216,統一         ,199812,76029,11.57,0.230488160211559,0.80069,0.42757,0.065497,0.11533,0.010382,0.06159,0.76087,100.46,57.46,9.28,21.8,-28.2,-43.9,-0.8643,0,1998,1997,1998,gini,5,預測為高於平均
2308,台達電       ,199812,58030,20.6,0.170708047147859,0.86737,0.44292,0.097233,0.16753,0.085775,0.085529,0.72298,226.62,169.84,8.17,4.35,21.21,-0.74,61.8932,1,1998,1997,1998,gini,5,預測為高於平均
2912,統一超       ,199812,44420,29.58,0.438869973126103,2.0205,0.30861,0.12235,0.21919,0.033487,0.033477,0.79153,84.87,43.95,24.24,155.48,31.97,21.24,62.5085,1,1998,1997,1998,gini,5,預測為高於平均
2349,錸德         ,199812,37776,24.5,0.602843089382083,0.51536,1.225,0.061964,0.11307,0.29961,0.26868,0.8247,133.73,76.45,6.53,3.04,145.61,69.41,156.449,1,1998,1997,1998,gini,5,預測為高於平均
2347,聯強         ,199812,35750,20.73,0.22174673401724,0.65893,0.12256,0.08039,0.14009,0.033555,0.026247,0.74268,194.03,127.7,11.67,10.33,54.95,62.02,89.918,1,1998,1997,1998,gini,5,預測為高於平均
1802,台玻         ,199812,34410,12.75,0.296675873218327,0.63591,1.157,0.054336,0.072752,0.14636,0.13924,0.33893,239.75,157.76,3.16,6.82,-5.98,-41.26,-18.902,0,1998,1997,1998,gini,5,預測為高於平均
1605,華新         ,199812,33568,8.4,0.318778301925882,0.53812,0.70529,0.012851,0.02348,0.008011,0.033866,0.82708,135.44,94.84,5.38,5.45,-82.21,-66.15,48.0952,1,1998,1997,1998,gini,5,預測為高於平均
2206,三陽         ,199812,26864,19.29,0.262482234698333,1.1863,0.46038,0.05306,0.089068,0.032484,0.034555,0.67863,159.28,103.25,11.99,15.89,1.8,-0.75,-25.1426,0,1998,1997,1998,gini,5,預測為高於平均
5346,力晶         ,199812,25638,8.21,0.928854139478045,0.61729,1.7069,-0.098846,-0.18153,-0.40858,-0.50162,0.83653,135.25,111.07,7.65,5.81,-1370.29,-2912.01,216.8088,1,1998,1997,1998,gini,5,預測為高於平均
1604,聲寶         ,199812,25186,27.65,0.730330862855453,2.3294,1.5782,-0.014962,-0.025578,-0.0099103,-0.019525,0.70955,149.91,85.26,3.65,4.14,-88.46,-199.68,-54.4665,0,1998,1997,1998,gini,5,預測為高於平均
2316,楠梓電       ,199812,22206,41.74,0.963088539286913,2.315,1.9838,0.093412,0.16429,0.1518,0.15541,0.75877,93.06,61.37,7.0,5.55,51.55,49.23,-20.4121,0,1998,1997,1998,gini,5,預測為高於平均
2363,矽統         ,199812,21610,40.61,0.546805718738968,2.9642,2.3232,0.16625,0.21422,0.13718,0.16797,0.28852,292.96,261.76,11.49,5.0,1170.63,251.78,154.6171,1,1998,1997,1998,gini,5,預測為高於平均
2373,震旦行       ,199812,19670,36.71,0.488897743920167,2.1812,0.96049,0.044909,0.081981,0.032818,0.039347,0.82547,196.92,129.6,6.35,9.49,5.04,-38.0,54.59,1,1998,1997,1998,gini,5,預測為高於平均
2339,合泰         ,199812,19506,20.89,0.62406008817369,1.2494,4.0881,-0.040357,-0.0765,-0.23424,-0.25044,0.89558,177.07,152.0,4.12,4.04,-240.19,-199.5,163.2839,1,1998,1997,1998,gini,5,預測為高於平均
2343,精業         ,199812,19448,21.98,0.395515215668593,0.94701,0.96193,0.085972,0.11469,0.092912,0.1165,0.33399,338.54,234.42,4.25,5.76,57.41,69.82,254.2311,1,1998,1997,1998,gini,5,預測為高於平均
9907,統一實       ,199812,18296,9.44,0.796183873585212,0.69006,0.89309,0.01061,0.026452,0.13872,0.035672,1.493,78.79,33.72,2.02,3.58,-9.81,-39.76,-32.4153,0,1998,1997,1998,gini,5,預測為高於平均
1440,南紡         ,199812,18030,9.55,0.0987122786555743,0.74146,1.2073,0.00042412,0.00070774,0.0063419,0.0011529,0.66872,167.64,54.83,2.7,6.71,-91.48,-98.64,-28.5864,0,1998,1997,1998,gini,5,預測為高於平均
2207,和泰         ,199812,16794,16.34,0.679727951377338,0.79746,0.15035,0.06769,0.12307,0.013929,0.023199,0.81808,149.82,125.39,23.32,6.94,-25.15,7.78,-35.3733,0,1998,1997,1998,gini,5,預測為高於平均
2368,金像電       ,199812,14893,26.19,0.334163052737496,0.74151,0.83275,0.078152,0.1046,0.12214,0.11746,0.33843,204.37,177.12,10.78,4.92,15.23,11.61,-8.0565,0,1998,1997,1998,gini,5,預測為高於平均
1409,新纖         ,199812,14727,10.45,0.698745832334795,0.95784,1.0235,-0.027536,-0.04685,-0.037622,-0.050158,0.70144,87.75,37.9,6.8,10.22,-6.8,-328.48,-20.4785,0,1998,1997,1998,gini,5,預測為高於平均
