證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,prediction_proba,訓練年份,測試年份,使用準則,最大深度,排名
2357,華碩         ,199812,244863,231.8,0.378609382660268,6.0649,5.3571,0.32378,0.37232,0.28274,0.32883,0.14991,673.08,601.87,8.76,20.8,72.81,64.46,56.0181,1,1998,1.0,1997,1998,gini,5,1
2373,震旦行       ,199812,19670,36.71,0.488897743920167,2.1812,0.96049,0.044909,0.081981,0.032818,0.039347,0.82547,196.92,129.6,6.35,9.49,5.04,-38.0,54.59,1,1998,1.0,1997,1998,gini,5,2
2339,合泰         ,199812,19506,20.89,0.62406008817369,1.2494,4.0881,-0.040357,-0.0765,-0.23424,-0.25044,0.89558,177.07,152.0,4.12,4.04,-240.19,-199.5,163.2839,1,1998,1.0,1997,1998,gini,5,3
2363,矽統         ,199812,21610,40.61,0.546805718738968,2.9642,2.3232,0.16625,0.21422,0.13718,0.16797,0.28852,292.96,261.76,11.49,5.0,1170.63,251.78,154.6171,1,1998,1.0,1997,1998,gini,5,4
5346,力晶         ,199812,25638,8.21,0.928854139478045,0.61729,1.7069,-0.098846,-0.18153,-0.40858,-0.50162,0.83653,135.25,111.07,7.65,5.81,-1370.29,-2912.01,216.8088,1,1998,1.0,1997,1998,gini,5,5
2349,錸德         ,199812,37776,24.5,0.602843089382083,0.51536,1.225,0.061964,0.11307,0.29961,0.26868,0.8247,133.73,76.45,6.53,3.04,145.61,69.41,156.449,1,1998,1.0,1997,1998,gini,5,6
1605,華新         ,199812,33568,8.4,0.318778301925882,0.53812,0.70529,0.012851,0.02348,0.008011,0.033866,0.82708,135.44,94.84,5.38,5.45,-82.21,-66.15,48.0952,1,1998,1.0,1997,1998,gini,5,7
1326,台化         ,199812,83304,8.62,0.470923348517591,0.43957,0.65254,0.063646,0.12089,0.065449,0.17945,0.89945,130.19,67.34,2.8,12.35,-24.27,172.43,53.7123,1,1998,1.0,1997,1998,gini,5,8
1608,華榮         ,199812,8680,8.72,0.951630464777727,0.61408,0.63696,0.061291,0.079578,0.079775,0.082535,0.29837,328.78,220.19,7.29,6.35,-4.95,-9.75,-8.945,0,1998,1.0,1997,1998,gini,5,9
1305,華夏         ,199812,6372,14.62,0.260727999055465,1.1594,0.80952,-0.0116,-0.026662,0.040363,-0.019037,1.2984,158.16,102.62,5.99,5.43,272.78,58.27,53.3516,1,1998,1.0,1997,1998,gini,5,10
2303,聯電         ,199912,743462,54.04,0.0942293388877347,3.4052,10.3525,0.070755,0.0933,0.12076,0.31119,0.31863,161.25,144.18,8.04,6.59,1206.72,387.38,-49.4264,0,1999,1.0,1998,1999,gini,3,1
2357,華碩         ,199912,379458,361.65,0.598523668756741,9.8194,8.4616,0.29365,0.33831,0.25753,0.29153,0.1521,642.24,547.02,8.29,15.67,26.79,23.41,-59.6516,0,1999,1.0,1998,1999,gini,3,2
2333,碧悠         ,199912,20400,71.79,0.721758033391102,5.1573,10.1255,0.041474,0.054528,0.051956,0.10707,0.31473,183.16,71.11,2.39,4.87,-49.78,-11.46,-10.0432,1,1999,1.0,1998,1999,gini,3,3
2411,飛瑞         ,199912,20974,26.42,0.784739294760742,1.5983,1.4986,0.17096,0.20652,0.22269,0.1937,0.20799,439.81,393.72,7.81,6.03,32.74,26.41,-29.9773,1,1999,1.0,1998,1999,gini,3,4
1802,台玻         ,199912,26640,10.34,0.915991244131425,0.51468,0.92404,0.054359,0.069036,0.1041,0.12782,0.27001,271.88,182.91,3.17,6.46,-27.8,2.72,31.2379,1,1999,1.0,1998,1999,gini,3,5
2379,瑞昱         ,199912,20386,36.36,0.47348599296532,1.7405,1.7175,0.19286,0.2346,0.24561,0.23154,0.21641,218.8,189.88,9.74,5.76,62.58,67.56,-3.3828,1,1999,1.0,1998,1999,gini,3,6
2363,矽統         ,199912,65067,103.4,0.875371598604185,3.3452,5.855,0.07933,0.10329,0.15716,0.18079,0.30201,281.38,264.68,12.78,5.32,94.01,82.27,-45.3385,1,1999,1.0,1998,1999,gini,3,7
2401,凌陽         ,199912,40368,46.69,0.0679927684700106,2.6055,3.0123,0.22444,0.26176,0.3121,0.30285,0.16626,414.98,360.17,8.58,7.51,47.49,38.4,20.6682,1,1999,1.0,1998,1999,gini,3,8
